DATE,CPI % Change,Nominal GDP,GDP % change from last Q
1/1/1960,-0.340136054,542.648,0
2/1/1960,0.341296928,542.648,0
3/1/1960,0,542.648,0
4/1/1960,0.340136054,541.08,0.002893717
5/1/1960,0,541.08,0.002893717
6/1/1960,0.338983051,541.08,0.002893717
7/1/1960,0,545.604,-0.008326296
8/1/1960,0,545.604,-0.008326296
9/1/1960,0,545.604,-0.008326296
10/1/1960,0.675675676,540.197,0.00995955
11/1/1960,0,540.197,0.00995955
12/1/1960,0,540.197,0.00995955
1/1/1961,0,545.018,-0.008884934
2/1/1961,0,545.018,-0.008884934
3/1/1961,0,545.018,-0.008884934
4/1/1961,0,555.545,-0.019130792
5/1/1961,0,555.545,-0.019130792
6/1/1961,0,555.545,-0.019130792
7/1/1961,0.67114094,567.664,-0.02158008
8/1/1961,-0.333333333,567.664,-0.02158008
9/1/1961,0.334448161,567.664,-0.02158008
10/1/1961,0,580.612,-0.022553025
11/1/1961,0,580.612,-0.022553025
12/1/1961,0,580.612,-0.022553025
1/1/1962,0,594.013,-0.022818485
2/1/1962,0.333333333,594.013,-0.022818485
3/1/1962,0,594.013,-0.022818485
4/1/1962,0.332225914,600.366,-0.010638265
5/1/1962,0,600.366,-0.010638265
6/1/1962,0,600.366,-0.010638265
7/1/1962,0.331125828,609.027,-0.014323132
8/1/1962,0,609.027,-0.014323132
9/1/1962,0.330033003,609.027,-0.014323132
10/1/1962,0,612.28,-0.005327093
11/1/1962,0,612.28,-0.005327093
12/1/1962,0,612.28,-0.005327093
1/1/1963,0,621.672,-0.015222928
2/1/1963,0,621.672,-0.015222928
3/1/1963,0.328947368,621.672,-0.015222928
4/1/1963,0,629.752,-0.012913469
5/1/1963,0,629.752,-0.012913469
6/1/1963,0.327868852,629.752,-0.012913469
7/1/1963,0.326797386,644.444,-0.023061838
8/1/1963,0,644.444,-0.023061838
9/1/1963,0,644.444,-0.023061838
10/1/1963,0.325732899,653.938,-0.014624616
11/1/1963,0,653.938,-0.014624616
12/1/1963,0.324675325,653.938,-0.014624616
1/1/1964,0,669.822,-0.02399946
2/1/1964,0,669.822,-0.02399946
3/1/1964,0,669.822,-0.02399946
4/1/1964,0,678.674,-0.013128889
5/1/1964,0,678.674,-0.013128889
6/1/1964,0.323624595,678.674,-0.013128889
7/1/1964,0.322580645,692.031,-0.019489858
8/1/1964,-0.321543408,692.031,-0.019489858
9/1/1964,0.322580645,692.031,-0.019489858
10/1/1964,0,697.319,-0.00761223
11/1/1964,0.321543408,697.319,-0.00761223
12/1/1964,0,697.319,-0.00761223
1/1/1965,0,717.79,-0.028934065
2/1/1965,0,717.79,-0.028934065
3/1/1965,0.320512821,717.79,-0.028934065
4/1/1965,0.319488818,730.191,-0.017129097
5/1/1965,0,730.191,-0.017129097
6/1/1965,0.636942675,730.191,-0.017129097
7/1/1965,0,749.323,-0.025863988
8/1/1965,0,749.323,-0.025863988
9/1/1965,0,749.323,-0.025863988
10/1/1965,0.316455696,771.857,-0.029629167
11/1/1965,0,771.857,-0.029629167
12/1/1965,0.315457413,771.857,-0.029629167
1/1/1966,0,795.734,-0.030465659
2/1/1966,0.628930818,795.734,-0.030465659
3/1/1966,0.3125,795.734,-0.030465659
4/1/1966,0.62305296,804.981,-0.011553716
5/1/1966,0,804.981,-0.011553716
6/1/1966,0.309597523,804.981,-0.011553716
7/1/1966,0.308641975,819.638,-0.018044105
8/1/1966,0.615384615,819.638,-0.018044105
9/1/1966,0,819.638,-0.018044105
10/1/1966,0.611620795,833.302,-0.016533342
11/1/1966,0,833.302,-0.016533342
12/1/1966,0,833.302,-0.016533342
1/1/1967,0,844.17,-0.012957775
2/1/1967,0,844.17,-0.012957775
3/1/1967,0.303951368,844.17,-0.012957775
4/1/1967,0.303030303,848.983,-0.005685266
5/1/1967,0.302114804,848.983,-0.005685266
6/1/1967,0.301204819,848.983,-0.005685266
7/1/1967,0.3003003,865.233,-0.018959672
8/1/1967,0.299401198,865.233,-0.018959672
9/1/1967,0.298507463,865.233,-0.018959672
10/1/1967,0.297619048,881.439,-0.018556964
11/1/1967,0.296735905,881.439,-0.018556964
12/1/1967,0.295857988,881.439,-0.018556964
1/1/1968,0.589970501,909.387,-0.031214947
2/1/1968,0.293255132,909.387,-0.031214947
3/1/1968,0.292397661,909.387,-0.031214947
4/1/1968,0.29154519,934.344,-0.027073933
5/1/1968,0.290697674,934.344,-0.027073933
6/1/1968,0.579710145,934.344,-0.027073933
7/1/1968,0.576368876,950.825,-0.01748535
8/1/1968,0.286532951,950.825,-0.01748535
9/1/1968,0.285714286,950.825,-0.01748535
10/1/1968,0.56980057,968.03,-0.01793305
11/1/1968,0.283286119,968.03,-0.01793305
12/1/1968,0.282485876,968.03,-0.01793305
1/1/1969,0.281690141,993.337,-0.025806904
2/1/1969,0.561797753,993.337,-0.025806904
3/1/1969,0.837988827,993.337,-0.025806904
4/1/1969,0.55401662,1009.02,-0.01566486
5/1/1969,0.275482094,1009.02,-0.01566486
6/1/1969,0.549450549,1009.02,-0.01566486
