"","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2012-01-01",12221.19043,12841.950195,12221.19043,12632.910156,2981080000,12632.910156
"2012-02-01",12632.759766,13055.75,12632.759766,12952.070313,2712170000,12952.070313
"2012-03-01",12952.290039,13289.080078,12734.860352,13212.040039,3203390000,13212.040039
"2012-04-01",13211.360352,13297.110352,12710.55957,13213.629883,2574900000,13213.629883
"2012-05-01",13214.160156,13338.660156,12311.55957,12393.450195,3.05e+09,12393.450195
"2012-06-01",12391.55957,12898.94043,12035.089844,12880.089844,2923670000,12880.089844
"2012-07-01",12879.709961,13128.639648,12492.25,13008.679688,2578110000,13008.679688
"2012-08-01",13007.469727,13330.759766,12778.900391,13090.839844,2267280000,13090.839844
"2012-09-01",13092.150391,13653.240234,12977.089844,13437.129883,2701270000,13437.129883
"2012-10-01",13437.660156,13661.870117,13017.370117,13096.459961,2472600000,13096.459961
"2012-11-01",13099.19043,13290.75,12471.490234,13025.580078,2683930000,13025.580078
"2012-12-01",13027.730469,13365.860352,12883.889648,13104.139648,2666750000,13104.139648
"2013-01-01",13104.299805,13969.990234,13104.299805,13860.580078,2786680000,13860.580078
"2013-02-01",13860.580078,14149.150391,13784.009766,14054.490234,2487580000,14054.490234
"2013-03-01",14054.490234,14585.099609,13937.599609,14578.540039,2546320000,14578.540039
"2013-04-01",14578.540039,14887.509766,14434.429688,14839.799805,2920230000,14839.799805
"2013-05-01",14839.799805,15542.400391,14687.049805,15115.570313,2771510000,15115.570313
"2013-06-01",15123.549805,15340.089844,14551.269531,14909.599609,2929040000,14909.599609
"2013-07-01",14911.599609,15634.320313,14858.929688,15499.540039,2623130000,15499.540039
"2013-08-01",15503.849609,15658.429688,14760.410156,14810.30957,2327660000,14810.30957
"2013-09-01",14801.549805,15709.580078,14777.480469,15129.669922,2371540000,15129.669922
"2013-10-01",15132.490234,15721,14719.429688,15545.75,2206620000,15545.75
"2013-11-01",15558.009766,16174.509766,15522.179688,16086.410156,1820260000,16086.410156
"2013-12-01",16087.120117,16588.25,15703.790039,16576.660156,2057160000,16576.660156
"2014-01-01",16572.169922,16573.070313,15617.549805,15698.849609,2177040000,15698.849609
"2014-02-01",15697.69043,16398.949219,15340.69043,16321.709961,2067820000,16321.709961
"2014-03-01",16321.709961,16505.699219,16046.990234,16457.660156,2095940000,16457.660156
"2014-04-01",16458.050781,16631.630859,16015.320313,16580.839844,1986960000,16580.839844
"2014-05-01",16580.259766,16735.509766,16341.299805,16717.169922,1643160000,16717.169922
"2014-06-01",16716.849609,16978.019531,16673.650391,16826.599609,1755480000,16826.599609
"2014-07-01",16828.529297,17151.560547,16563.300781,16563.300781,1690880000,16563.300781
"2014-08-01",16561.699219,17153.800781,16333.780273,17098.449219,1482600000,17098.449219
"2014-09-01",17097.419922,17350.640625,16934.429688,17042.900391,1870550000,17042.900391
"2014-10-01",17040.460938,17395.539063,15855.120117,17390.519531,2903240000,17390.519531
"2014-11-01",17390.900391,17894.830078,17278.359375,17828.240234,1516490000,17828.240234
"2014-12-01",17827.269531,18103.449219,17067.589844,17823.070313,2216900000,17823.070313
"2015-01-01",17823.070313,17951.779297,17136.300781,17164.949219,2173260000,17164.949219
"2015-02-01",17169.990234,18244.380859,17037.759766,18132.699219,1751250000,18132.699219
"2015-03-01",18134.050781,18288.630859,17579.269531,17776.119141,2470480000,17776.119141
"2015-04-01",17778.519531,18175.560547,17585.009766,17840.519531,2174880000,17840.519531
"2015-05-01",17859.269531,18351.359375,17733.119141,18010.679688,1832450000,18010.679688
"2015-06-01",18017.820313,18188.810547,17576.5,17619.509766,2219240000,17619.509766
"2015-07-01",17638.119141,18137.119141,17399.169922,17689.859375,2034220000,17689.859375
"2015-08-01",17696.740234,17704.759766,15370.330078,16528.029297,2726340000,16528.029297
"2015-09-01",16528.029297,16933.429688,15942.370117,16284.700195,2724080000,16284.700195
"2015-10-01",16278.620117,17799.960938,16013.660156,17663.539063,2605470000,17663.539063
"2015-11-01",17672.619141,17977.849609,17210.429688,17719.919922,2334610000,17719.919922
"2015-12-01",17719.720703,17901.580078,17116.730469,17425.029297,2521440000,17425.029297
"2016-01-01",17405.480469,17405.480469,15450.55957,16466.300781,2844080000,16466.300781
"2016-02-01",16453.630859,16795.980469,15503.009766,16516.5,2491810000,16516.5
"2016-03-01",16545.669922,17790.109375,16545.669922,17685.089844,2407750000,17685.089844
"2016-04-01",17661.740234,18167.630859,17484.230469,17773.640625,2096650000,17773.640625
"2016-05-01",17783.779297,17934.609375,17331.070313,17787.199219,1879010000,17787.199219
"2016-06-01",17754.550781,18016,17063.080078,17929.990234,2350020000,17929.990234
"2016-07-01",17924.240234,18622.009766,17713.449219,18432.240234,1816520000,18432.240234
"2016-08-01",18434.5,18722.609375,18247.789063,18400.880859,1695750000,18400.880859
"2016-09-01",18396.570313,18551.539063,17992.210938,18308.150391,2101120000,18308.150391
"2016-10-01",18279.599609,18399.960938,17959.949219,18142.419922,1793690000,18142.419922
"2016-11-01",18158.240234,19225.289063,17883.560547,19123.580078,2107770000,19123.580078
"2016-12-01",19149.199219,19987.630859,19138.789063,19762.599609,5952470000,19762.599609
"2017-01-01",19872.859375,20125.580078,19677.939453,19864.089844,6482900000,19864.089844
"2017-02-01",19923.810547,20851.330078,19831.089844,20812.240234,6185580000,20812.240234
"2017-03-01",20957.289063,21169.109375,20412.800781,20663.220703,6941970000,20663.220703
"2017-04-01",20665.169922,21070.900391,20379.550781,20940.509766,5392630000,20940.509766
"2017-05-01",20962.730469,21112.320313,20553.449219,21008.650391,6613570000,21008.650391
"2017-06-01",21030.550781,21535.029297,20994.220703,21349.630859,7214590000,21349.630859
"2017-07-01",21392.300781,21929.800781,21279.300781,21891.119141,5569720000,21891.119141
"2017-08-01",21961.419922,22179.109375,21600.339844,21948.099609,6150060000,21948.099609
"2017-09-01",21981.769531,22419.509766,21709.630859,22405.089844,6342130000,22405.089844
"2017-10-01",22423.470703,23485.25,22416,23377.240234,7302910000,23377.240234
"2017-11-01",23442.900391,24327.820313,23242.75,24272.349609,7335640000,24272.349609
"2017-12-01",24305.400391,24876.070313,23921.900391,24719.220703,6589890000,24719.220703
"2018-01-01",24809.349609,26616.710938,24741.699219,26149.390625,9116920000,26149.390625
"2018-02-01",26083.039063,26306.699219,23360.289063,25029.199219,9450250000,25029.199219
"2018-03-01",25024.039063,25449.150391,23509.060547,24103.109375,8873040000,24103.109375
"2018-04-01",24076.599609,24858.970703,23344.519531,24163.150391,8064550000,24163.150391
"2018-05-01",24117.289063,25086.490234,23531.310547,24415.839844,7278020000,24415.839844
"2018-06-01",24542.089844,25402.830078,23997.210938,24271.410156,7411110000,24271.410156
"2018-07-01",24161.529297,25587.240234,24077.560547,25415.189453,5408500000,25415.189453
"2018-08-01",25461.630859,26167.939453,24965.769531,25964.820313,5635410000,25964.820313
"2018-09-01",25916.070313,26769.160156,25754.320313,26458.310547,5262500000,26458.310547
"2018-10-01",26598.359375,26951.810547,24122.230469,25115.759766,8373350000,25115.759766
"2018-11-01",25142.080078,26277.820313,24268.740234,25538.460938,7226940000,25538.460938
"2018-12-01",25779.570313,25980.210938,21712.529297,23327.460938,8101540000,23327.460938
"2019-01-01",23058.609375,25109.619141,22638.410156,24999.669922,7189200000,24999.669922
"2019-02-01",25025.310547,26241.419922,24883.039063,25916,5434540000,25916
"2019-03-01",26019.669922,26155.980469,25208,25928.679688,6637700000,25928.679688
"2019-04-01",26075.099609,26695.960938,26062.589844,26592.910156,5854600000,26592.910156
"2019-05-01",26639.060547,26689.390625,24809.509766,24815.039063,6358230000,24815.039063
"2019-06-01",24830.160156,26907.369141,24680.570313,26599.960938,5544390000,26599.960938
"2019-07-01",26805.859375,27398.679688,26616.210938,26864.269531,5207470000,26864.269531
"2019-08-01",26879.859375,27175.589844,25339.599609,26403.279297,6196080000,26403.279297
"2019-09-01",26198.259766,27306.730469,25978.220703,26916.830078,5045520000,26916.830078
"2019-10-01",26962.539063,27204.359375,25743.460938,27046.230469,5660960000,27046.230469
"2019-11-01",27142.949219,28174.970703,27142.949219,28051.410156,4925180000,28051.410156
"2019-12-01",28109.740234,28701.660156,27325.130859,28538.439453,5086880000,28538.439453
"2020-01-01",28638.970703,29373.619141,28169.529297,28256.029297,6170770000,28256.029297
"2020-02-01",28319.650391,29568.570313,24681.009766,25409.359375,6991990000,25409.359375
"2020-03-01",25590.509766,27102.339844,18213.650391,21917.160156,15521140000,21917.160156
"2020-04-01",21227.380859,24764.769531,20735.019531,24345.720703,9805160000,24345.720703
"2020-05-01",24120.779297,25758.789063,22789.619141,25383.109375,7940630000,25383.109375
"2020-06-01",25342.990234,27580.210938,24843.179688,25812.880859,9710480000,25812.880859
"2020-07-01",25879.380859,27071.330078,25523.509766,26428.320313,8210370000,26428.320313
"2020-08-01",26542.320313,28733.349609,26534.380859,28430.050781,7452360000,28430.050781
"2020-09-01",28439.609375,29199.349609,26537.009766,27781.699219,9973920000,27781.699219
