DATE,CPIAUCSL,% Change (M/M),%Change (Q/Q),% Change (Y/Y),Nominal GDP,% Change Q/Q,
1/1/1947,21.48,,,,243.164,,
2/1/1947,21.62,0.006496543,,,243.164,,
3/1/1947,22,0.017423641,,,243.164,,
4/1/1947,22,0,0.023920184,,245.968,0.011465333,
5/1/1947,21.95,-0.002275314,0.015148327,,245.968,0.011465333,
6/1/1947,22.08,0.005905082,0.003629768,,245.968,0.011465333,
7/1/1947,22.23,0.006770507,0.010400275,,249.585,0.014598092,
8/1/1947,22.4,0.007618231,0.020293819,,249.585,0.014598092,
9/1/1947,22.84,0.019452426,0.033841163,,249.585,0.014598092,
10/1/1947,22.91,0.003060112,0.030130768,,259.745,0.039900842,
11/1/1947,23.06,0.006526018,0.029038556,,259.745,0.039900842,
12/1/1947,23.41,0.015063767,0.024649897,,259.745,0.039900842,
1/1/1948,23.68,0.011467529,0.033057314,0.09750854,265.742,0.022825533,
2/1/1948,23.67,-0.000422386,0.026108909,0.090589611,265.742,0.022825533,
3/1/1948,23.5,-0.007208002,0.00383714,0.065957968,265.742,0.022825533,
4/1/1948,23.82,0.013525143,0.005894754,0.079483111,272.567,0.025358542,
5/1/1948,24.01,0.007944846,0.014261987,0.089703271,272.567,0.025358542,
6/1/1948,24.15,0.00581397,0.027283959,0.089612159,272.567,0.025358542,
7/1/1948,24.4,0.010298752,0.024057568,0.093140404,279.196,0.024029589,
8/1/1948,24.43,0.001228753,0.017341475,0.086750926,279.196,0.024029589,
9/1/1948,24.36,-0.002869442,0.008658063,0.064429058,279.196,0.024029589,
10/1/1948,24.31,-0.002054655,-0.003695344,0.059314292,280.366,0.004181848,
11/1/1948,24.16,-0.006189415,-0.011113512,0.046598858,280.366,0.004181848,
12/1/1948,24.05,-0.004563377,-0.012807446,0.026971715,280.366,0.004181848,
1/1/1949,24.01,-0.001664586,-0.012417378,0.0138396,275.034,-0.019201166,
2/1/1949,23.91,-0.004173629,-0.010401592,0.010088358,275.034,-0.019201166,
3/1/1949,23.91,0,-0.005838215,0.01729636,275.034,-0.019201166,
4/1/1949,23.92,0.000418148,-0.003755481,0.004189365,271.351,-0.013481541,
5/1/1949,23.91,-0.000418148,0,-0.004173629,271.351,-0.013481541,
6/1/1949,23.92,0.000418148,0.000418148,-0.009569451,271.351,-0.013481541,
7/1/1949,23.7,-0.009239881,-0.009239881,-0.029108084,272.889,0.005651933,
