"","NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted"
"2012-01-01",7477.029785,7929.759766,7459.450195,7838.47998,79567560000,7838.47998
"2012-02-01",7838.47998,8210.259766,7838.47998,8113.240234,78385710000,8113.240234
"2012-03-01",8136.129883,8327.669922,7898.609863,8206.929688,83899660000,8206.929688
"2012-04-01",8206.94043,8305.69043,7835.290039,8119.060059,74761710000,8119.060059
"2012-05-01",8115.060059,8211.650391,7387.450195,7463.959961,86920490000,7463.959961
"2012-06-01",7368.410156,7801.839844,7222.879883,7801.839844,76913090000,7801.839844
"2012-07-01",7810.830078,7939.149902,7538.240234,7863.930176,73103810000,7863.930176
"2012-08-01",7891.339844,8160.419922,7710.830078,8014.930176,70283810000,8014.930176
"2012-09-01",8012.870117,8515.599609,7960.870117,8251,69784280000,8251
"2012-10-01",8276.089844,8470.69043,8152.790039,8221.400391,71752320000,8221.400391
"2012-11-01",8231.669922,8339.780273,7841.759766,8260.429688,71489310000,8260.429688
"2012-12-01",8260.429688,8519.139648,8205.330078,8443.509766,66388180000,8443.509766
"2013-01-01",8571.530273,8944.290039,8571.080078,8894.709961,75848510000,8894.709961
"2013-02-01",8931.459961,9004.410156,8700.730469,8868.719727,69273480000,8868.719727
"2013-03-01",8827.830078,9128.889648,8779.839844,9107.040039,68527110000,9107.040039
"2013-04-01",9098.05957,9276.879883,8890.450195,9276.879883,7.7098e+10,9276.879883
"2013-05-01",9248.450195,9695.459961,9169.780273,9302.269531,76447250000,9302.269531
"2013-06-01",9317.389648,9412.049805,8814.759766,9112.69043,74946790000,9112.69043
"2013-07-01",9154.259766,9682.110352,9074.589844,9558.830078,68106820000,9558.830078
"2013-08-01",9617.290039,9690.099609,9246.889648,9270.660156,64802810000,9270.660156
"2013-09-01",9357.80957,9906.320313,9296.269531,9621.240234,66174410000,9621.240234
"2013-10-01",9624.179688,10127.629883,9441.660156,10009.639648,76647400000,10009.639648
"2013-11-01",10010.269531,10229.570313,9909.540039,10183.230469,63628190000,10183.230469
"2013-12-01",10173.769531,10406.769531,9925.620117,10400.320313,64958820000,10400.320313
"2014-01-01",10352.709961,11334.650391,9908.030273,9967.650391,75871910000,9967.650391
"2014-02-01",9967.69043,10471.629883,9732.469727,10425.860352,69725590000,10425.860352
"2014-03-01",10349.299805,10550.240234,10272.089844,10527.769531,71885030000,10527.769531
"2014-04-01",10538.44043,10669.429688,10271.360352,10627.169922,71595810000,10627.169922
