"","RUT.Open","RUT.High","RUT.Low","RUT.Close","RUT.Volume","RUT.Adjusted"
"2012-01-01",750.700012,800.219971,736.780029,792.820007,79567560000,792.820007
"2012-02-01",796.98999,833.02002,796.98999,810.940002,78385710000,810.940002
"2012-03-01",813.969971,847.919983,785.409973,830.299988,83899660000,830.299988
"2012-04-01",828.890015,841.059998,783.559998,816.880005,74761710000,816.880005
"2012-05-01",817.700012,830.099976,745.710022,761.820007,86920490000,761.820007
"2012-06-01",752.109985,799,729.75,798.48999,81582440000,798.48999
"2012-07-01",799.820007,820.440002,765.049988,786.940002,73103810000,786.940002
"2012-08-01",790.030029,827.130005,765.200012,812.090027,70283810000,812.090027
"2012-09-01",813.169983,868.5,807.359985,837.450012,69784280000,837.450012
"2012-10-01",840.830017,853.570007,807.23999,818.72998,71752320000,818.72998
"2012-11-01",818.780029,830.549988,763.549988,821.919983,71489310000,821.919983
"2012-12-01",825.869995,852.5,816.080017,849.349976,66388180000,849.349976
"2013-01-01",849.349976,907.909973,849.349976,902.090027,75848510000,902.090027
"2013-02-01",905.590027,932,894.23999,911.109985,69273480000,911.109985
"2013-03-01",905.369995,954,899.309998,951.539978,68527110000,951.539978
"2013-04-01",951.409973,951.599976,898.400024,947.460022,7.7098e+10,947.460022
"2013-05-01",945.530029,1008.22998,924.210022,984.150024,76447250000,984.150024
"2013-06-01",986.25,1001.48999,942.789978,977.47998,74946790000,977.47998
"2013-07-01",981.299988,1056.859985,981.299988,1045.26001,68106820000,1045.26001
"2013-08-01",1051.22998,1063.52002,1009.460022,1010.900024,64802810000,1010.900024
"2013-09-01",1019.47998,1082,1009,1073.790039,66174410000,1073.790039
"2013-10-01",1073.689941,1123.26001,1037.859985,1100.150024,76627760000,1100.150024
"2013-11-01",1099.089966,1147,1079.079956,1142.890015,63509720000,1142.890015
"2013-12-01",1142.300049,1167.959961,1099.670044,1163.640015,64958820000,1163.640015
"2014-01-01",1160.5,1182.040039,1119.800049,1130.880005,75871910000,1130.880005
"2014-02-01",1130.099976,1193.5,1082.719971,1183.030029,69725590000,1183.030029
"2014-03-01",1174.22998,1212.819946,1146.829956,1173.040039,71885030000,1173.040039
"2014-04-01",1175.469971,1193.959961,1095.790039,1126.859985,71595810000,1126.859985
"2014-05-01",1126.040039,1144.099976,1082.530029,1134.5,63623630000,1134.5
"2014-06-01",1136.369995,1193.599976,1118.660034,1192.959961,63283380000,1192.959961
"2014-07-01",1196.22998,1213.550049,1120.060059,1120.069946,66524690000,1120.069946
"2014-08-01",1120.540039,1177.069946,1107.310059,1174.349976,58131140000,1174.349976
"2014-09-01",1177.290039,1183.849976,1101.670044,1101.680054,66506610000,1101.680054
"2014-10-01",1101.079956,1174.329956,1040.469971,1173.51001,93694040000,1173.51001
"2014-11-01",1174.5,1191.76001,1151.97998,1173.22998,63570190000,1173.22998
"2014-12-01",1170.550049,1221.439941,1134.51001,1204.699951,80713820000,1204.699951
"2015-01-01",1209.97998,1212.800049,1151.300049,1165.390015,77300040000,1165.390015
"2015-02-01",1168.579956,1239.670044,1153.790039,1233.369995,68775560000,1233.369995
"2015-03-01",1233.390015,1268.160034,1206.109985,1252.77002,76675850000,1252.77002
"2015-04-01",1250.98999,1278.630005,1216.099976,1220.130005,69440940000,1220.130005
"2015-05-01",1223.050049,1261.02002,1211.130005,1246.530029,65187730000,1246.530029
"2015-06-01",1252.02002,1296,1238.650024,1253.949951,73192620000,1253.949951
"2015-07-01",1262.119995,1275.900024,1205.189941,1238.680054,77920590000,1238.680054
"2015-08-01",1238.319946,1243.160034,1102.579956,1159.449951,84596790000,1159.449951
"2015-09-01",1148.310059,1193.98999,1078.630005,1100.689941,79958370000,1100.689941
"2015-10-01",1100.890015,1178.780029,1080.609985,1161.859985,85804900000,1161.859985
"2015-11-01",1161.949951,1204.869995,1140.76001,1198.109985,75913590000,1198.109985
"2015-12-01",1198.930054,1205.079956,1108.76001,1135.890015,83609260000,1135.890015
"2016-01-01",1134.079956,1134.079956,958.47998,1035.380005,92409770000,1035.380005
"2016-02-01",1033.530029,1044.910034,943.099976,1033.900024,92998480000,1033.900024
"2016-03-01",1035.52002,1117.790039,1035.52002,1114.030029,92639420000,1114.030029
"2016-04-01",1112.900024,1156.069946,1088.560059,1130.849976,81124990000,1130.849976
"2016-05-01",1131.209961,1158.969971,1085.939941,1154.790039,78883600000,1154.790039
"2016-06-01",1154.51001,1190.170044,1085.880005,1151.920044,86802700000,1151.920044
"2016-07-01",1151.75,1224.77002,1131.709961,1219.939941,69530250000,1219.939941
"2016-08-01",1220.300049,1251.329956,1198.72998,1239.910034,75610310000,1239.910034
"2016-09-01",1240.069946,1263.459961,1206.069946,1251.650024,77270240000,1251.650024
"2016-10-01",1251.280029,1254.089966,1185.170044,1191.390015,73196630000,1191.390015
"2016-11-01",1191.77002,1347.199951,1156.079956,1322.339966,88299760000,1322.339966
"2016-12-01",1322.76001,1392.709961,1308.849976,1357.130005,75251240000,1357.130005
"2017-01-01",1357.98999,1388.599976,1341.459961,1361.819946,70483180000,1361.819946
"2017-02-01",1364.069946,1410.400024,1349.430054,1386.680054,69162420000,1386.680054
"2017-03-01",1389.119995,1414.819946,1335.040039,1385.920044,81547770000,1385.920044
"2017-04-01",1386.430054,1425.699951,1345.23999,1400.430054,65265670000,1400.430054
"2017-05-01",1401.01001,1411.040039,1351.01001,1370.209961,79607170000,1370.209961
"2017-06-01",1370.329956,1433.790039,1370.329956,1415.359985,81002490000,1415.359985
"2017-07-01",1416.469971,1452.089966,1398.829956,1425.140015,63009300000,1425.140015
"2017-08-01",1426.030029,1430.660034,1349.349976,1405.280029,70616030000,1405.280029
"2017-09-01",1405.819946,1493.560059,1393.880005,1490.859985,66337980000,1490.859985
"2017-10-01",1491.050049,1514.939941,1482.530029,1502.530029,70871570000,1502.530029
"2017-11-01",1504.540039,1551.689941,1454.170044,1544.140015,73173260000,1544.140015
"2017-12-01",1544.099976,1559.609985,1498.780029,1535.51001,65251190000,1535.51001
"2018-01-01",1536.119995,1615.52002,1536.119995,1574.97998,76800120000,1574.97998
"2018-02-01",1574.72998,1582.280029,1436.430054,1512.449951,79579410000,1512.449951
"2018-03-01",1512.069946,1609.050049,1494,1529.430054,76349800000,1529.430054
"2018-04-01",1529.140015,1592.040039,1482.900024,1541.880005,69635590000,1541.880005
"2018-05-01",1541.77002,1651.109985,1527.709961,1633.609985,75607280000,1633.609985
"2018-06-01",1635.400024,1708.099976,1630.060059,1643.069946,77439710000,1643.069946
"2018-07-01",1641.72998,1708.560059,1631.060059,1670.800049,64542170000,1670.800049
"2018-08-01",1670.869995,1742.089966,1657.540039,1740.75,69238220000,1740.75
"2018-09-01",1740.800049,1740.800049,1686.98999,1696.569946,62492080000,1696.569946
"2018-10-01",1697.829956,1703.810059,1459.160034,1511.410034,91327930000,1511.410034
"2018-11-01",1512.680054,1586.170044,1465.25,1533.27002,80080110000,1533.27002
"2018-12-01",1536.329956,1553.339966,1266.920044,1348.560059,83472570000,1348.560059
"2019-01-01",1346.109985,1500.73999,1325.180054,1499.420044,80379630000,1499.420044
"2019-02-01",1499.530029,1602.099976,1494.369995,1575.550049,70183430000,1575.550049
"2019-03-01",1577.5,1594.23999,1494.98999,1539.73999,78573340000,1539.73999
"2019-04-01",1542.890015,1603.079956,1542.890015,1591.209961,69604840000,1591.209961
"2019-05-01",1593.47998,1618.369995,1461.469971,1465.48999,76860120000,1465.48999
"2019-06-01",1465.880005,1570.73999,1460.48999,1566.569946,70881390000,1566.569946
"2019-07-01",1574.650024,1599.400024,1543.560059,1574.609985,70349470000,1574.609985
"2019-08-01",1574.930054,1587.810059,1450.319946,1494.839966,79599440000,1494.839966
"2019-09-01",1494.030029,1590.5,1467.469971,1523.369995,73992330000,1523.369995
"2019-10-01",1523.849976,1581.130005,1462.219971,1562.449951,77564550000,1562.449951
"2019-11-01",1569.199951,1634.77002,1569.199951,1624.5,72179920000,1624.5
"2019-12-01",1626.560059,1681.680054,1589.72998,1668.469971,7.2054e+10,1668.469971
"2020-01-01",1675.900024,1715.079956,1610.640015,1614.060059,77104420000,1614.060059
"2020-02-01",1618.800049,1698.910034,1448.209961,1476.430054,84292270000,1476.430054
"2020-03-01",1476.589966,1539.73999,966.219971,1153.099976,161801100000,1153.099976
"2020-04-01",1127.72998,1373.390015,1035.390015,1310.660034,123163450000,1310.660034
"2020-05-01",1280.579956,1450.369995,1181.089966,1394.040039,106799100000,1394.040039
"2020-06-01",1396.290039,1537.619995,1343.599976,1441.369995,1.31044e+11,1441.369995
"2020-07-01",1443.290039,1507.23999,1384.099976,1480.430054,97197020000,1480.430054
"2020-08-01",1485.48999,1603.599976,1483.369995,1561.880005,84402300000,1561.880005
"2020-09-01",1561.099976,1595.040039,1432.569946,1507.689941,92084120000,1507.689941
"2020-10-01",1508.599976,1652.050049,1498.109985,1538.47998,89737600000,1538.47998
"2020-11-01",1540.859985,1862.170044,1540.859985,1819.819946,100977880000,1819.819946
"2020-12-01",1822.920044,2026.23999,1817.02002,1974.859985,96056410000,1974.859985
"2021-01-01",1975.780029,2194.860107,1927.150024,2073.639893,105548790000,2073.639893
"2021-02-01",2075.01001,2318.090088,2075.01001,2201.050049,98596960000,2201.050049
"2021-03-01",2203.030029,2360.169922,2085.120117,2220.52002,116552180000,2220.52002
"2021-04-01",2225.290039,2322.909912,2171.679932,2266.449951,79003470000,2266.449951
"2021-05-01",2268.620117,2288.570068,2132.25,2268.969971,75155370000,2268.969971
"2021-06-01",2270.379883,2350.699951,2229.580078,2310.550049,85705180000,2310.550049
"2021-07-01",2312.570068,2332.949951,2107.070068,2226.25,66496430000,2226.25
