"","XAX.Open","XAX.High","XAX.Low","XAX.Close","XAX.Volume","XAX.Adjusted"
"2012-01-01",2302.939941,2374.219971,2240.139893,2358.969971,0,2358.969971
"2012-02-01",2358.969971,2498.889893,2358.969971,2458.310059,0,2458.310059
"2012-03-01",2474.870117,2490.459961,2356.310059,2405.919922,0,2405.919922
"2012-04-01",2417.98999,2465.790039,2316.870117,2426.26001,0,2426.26001
"2012-05-01",2434.860107,2456.300049,2177.02002,2200.52002,0,2200.52002
"2012-06-01",2192.620117,2352.100098,2164.870117,2327.889893,0,2327.889893
"2012-07-01",2328.110107,2424.800049,2301.719971,2377.699951,0,2377.699951
"2012-08-01",2392.449951,2453.389893,2377.050049,2416.52002,0,2416.52002
"2012-09-01",2410.939941,2502.209961,2389.370117,2437.51001,0,2437.51001
"2012-10-01",2437.52002,2509.570068,2349.340088,2359.280029,0,2359.280029
"2012-11-01",2356.649902,2412.51001,2290.070068,2399.649902,0,2399.649902
"2012-12-01",2401.51001,2441.649902,2321.810059,2355.659912,0,2355.659912
"2013-01-01",2363.850098,2419.629883,2357,2415,0,2415
"2013-02-01",2411.129883,2437.25,2348.639893,2363.830078,0,2363.830078
"2013-03-01",2372.560059,2436.199951,2361.98999,2406.179932,0,2406.179932
"2013-04-01",2406.810059,2428.919922,2298.810059,2409.399902,0,2409.399902
"2013-05-01",2419.909912,2453.540039,2364.090088,2364.98999,0,2364.98999
"2013-06-01",2373.070068,2385.899902,2186.969971,2245.72998,0,2245.72998
"2013-07-01",2270.570068,2374.429932,2250.300049,2356.389893,0,2356.389893
"2013-08-01",2379.399902,2382.649902,2271.649902,2275.100098,0,2275.100098
"2013-09-01",2291.01001,2422.209961,2281.560059,2363.290039,0,2363.290039
"2013-10-01",2354.540039,2471.189941,2285.139893,2444.22998,0,2444.22998
"2013-11-01",2431.280029,2450.149902,2368.310059,2387.149902,0,2387.149902
"2013-12-01",2381.209961,2430.72998,2324.23999,2426.199951,0,2426.199951
"2014-01-01",2416.580078,2432.300049,2269.419922,2287.540039,0,2287.540039
"2014-02-01",2300.629883,2519.23999,2248.98999,2510.97998,0,2510.97998
"2014-03-01",2497.800049,2585.340088,2484.77002,2563.310059,0,2563.310059
"2014-04-01",2564.97998,2645.76001,2529.330078,2612.52002,0,2612.52002
"2014-05-01",2621.969971,2729.419922,2584.75,2727.300049,0,2727.300049
